,Coh_Swath,Coh_SwathOverPoca,DayInYear_Swath,DemDiffMad_Swath,DemDiff_Swath,DemDiff_SwathOverPoca,Dist_SwathToPoca,Elev_Oib,Elev_Swath,Heading_Swath,Lat_Swath,LeadEdgeS_Poca,LeadEdgeW_Poca,Lon_Swath,MeanDiffSpread_Swath,PhaseConfidence_Swath,PhaseSSegment_Swath,Phase_Swath,Phase_SwathOverPoca,PowerScaled_Swath,PowerScaled_SwathOverPoca,PowerWatt_Swath,SampleNb_Swath,SampleNb_SwathMinusLeadEdgeS,StartTime_Swath,Wf_Number_Swath,X_Swath,Y_Swath
61,0.502,0.5492341356673961,125,5.270718018087925,-26.25777372531593,3.9044937938188213,3777.804653499172,2481.3844,2487.742226274684,186.3146085256984,63.894181896958465,111.6,0.20000000000000284,-42.916300829926286,22.484647017585147,0.9698849097904915,0.02454369260617026,-2.013357,0.543920294793305,25549.0,2.6820281335292884,2.895085017114163e-15,161,49.400000000000006,1336113389,1415,104568,-2874056
62,0.549,0.600656455142232,125,5.270718018087925,-27.056098602712154,4.0232035733245946,3815.922037987674,2480.8604,2486.943901397288,186.3146085256984,63.89414535694062,111.6,0.20000000000000284,-42.91553895056751,22.484647017585147,0.9698849097904915,0.02454369260617026,-1.996164,0.5392755042130049,24379.0,2.5592063825320177,2.762506463353798e-15,163,51.400000000000006,1336113389,1415,104606,-2874059
63,0.803,0.8785557986870898,125,5.270718018087925,-31.602641517296433,4.699268070605644,3917.16389751565,2480.2668,2481.3973584827036,186.3146085256984,63.89404868462396,111.6,0.20000000000000284,-42.91352369228957,22.484647017585147,0.9698849097904915,0.02454369260617026,-1.950673,0.5269858416591497,63998.0,6.71824480369515,7.251933575688763e-15,183,71.4,1336113389,1415,104707,-2874066
64,0.755,0.8260393873085339,125,5.270718018087925,-27.471918764524162,4.085035442931057,3844.990767219084,2480.4139,2485.528081235476,186.3146085256984,63.894118091682,111.6,0.20000000000000284,-42.914970510725766,22.484647017585147,0.9698849097904915,0.02454369260617026,-1.983333,0.5358091337171152,40794.0,4.282385051438169,4.6225722411114e-15,168,56.400000000000006,1336113389,1415,104635,-2874061
65,0.748,0.8183807439824945,125,5.270718018087925,-29.797530400566757,4.430850602081678,3926.2125515565253,2479.8011,2483.2024695994332,186.3146085256984,63.89404091019411,111.6,0.20000000000000284,-42.913361650390414,22.484647017585147,0.9698849097904915,0.02454369260617026,-1.947024,0.5260000427393849,40125.0,4.212156204073064,4.546764503961243e-15,175,63.400000000000006,1336113389,1415,104716,-2874067
66,0.748,0.8183807439824945,125,5.270718018087925,-29.797530400566757,4.430850602081678,3926.2125515565253,2479.743,2483.2024695994332,186.3146085256984,63.89404091019411,111.6,0.20000000000000284,-42.913361650390414,22.484647017585147,0.9698849097904915,0.02454369260617026,-1.947024,0.5260000427393849,40125.0,4.212156204073064,4.546764503961243e-15,175,63.400000000000006,1336113389,1415,104716,-2874067
67,0.688,0.7527352297592997,125,5.270718018087925,-28.667902645654976,4.262876553538252,3966.3247471683403,2479.3614,2483.332097354345,186.3146085256984,63.8940023795495,111.6,0.20000000000000284,-42.91255861574581,22.484647017585147,0.9698849097904915,0.02454369260617026,-1.928906,0.5211053579412765,44251.0,4.64528658408566,5.014302207222155e-15,173,61.400000000000006,1336113389,1415,104756,-2874070
68,0.836,0.9146608315098468,125,5.270718018087925,-32.460650636814535,4.826852812451768,3971.311748024826,2479.3021,2479.5393493631855,186.3146085256984,63.893997217371584,111.6,0.20000000000000284,-42.91245103558322,22.484647017585147,0.9698849097904915,0.02454369260617026,-1.926464,0.5204456372062627,61663.0,6.473126180978375,6.987343043184103e-15,189,77.4,1336113389,1415,104761,-2874070
69,0.857,0.9376367614879649,125,5.270718018087925,-33.34455319028348,4.958287871282848,4050.538729601286,2478.6986,2478.6554468097165,186.3146085256984,63.893922467116965,111.6,0.20000000000000284,-42.91089342716441,22.484647017585147,0.9698849097904915,0.02454369260617026,-1.891317,0.5109504673972818,65535.0,6.879592693680453,7.426098735628661e-15,190,78.4,1336113389,1415,104840,-2874076
70,0.836,0.9146608315098468,125,5.270718018087925,-32.460650636814535,4.826852812451768,3971.311748024826,2478.9909,2479.5393493631855,186.3146085256984,63.893997217371584,111.6,0.20000000000000284,-42.91245103558322,22.484647017585147,0.9698849097904915,0.02454369260617026,-1.926464,0.5204456372062627,61663.0,6.473126180978375,6.987343043184103e-15,189,77.4,1336113389,1415,104761,-2874070
71,0.836,0.9146608315098468,125,5.270718018087925,-32.460650636814535,4.826852812451768,3971.311748024826,2478.9313,2479.5393493631855,186.3146085256984,63.893997217371584,111.6,0.20000000000000284,-42.91245103558322,22.484647017585147,0.9698849097904915,0.02454369260617026,-1.926464,0.5204456372062627,61663.0,6.473126180978375,6.987343043184103e-15,189,77.4,1336113389,1415,104761,-2874070
72,0.735,0.8041575492341356,125,5.270718018087925,-29.21854321565479,4.344756027048844,4089.6535305573257,2478.3609,2482.781456784345,186.3146085256984,63.89388476474962,111.6,0.20000000000000284,-42.910107939759314,22.484647017585147,0.9698849097904915,0.02454369260617026,-1.87361,0.5061668166786537,37031.0,3.887360906991392,4.196167884017166e-15,171,59.400000000000006,1336113389,1415,104879,-2874079
73,0.857,0.9376367614879649,125,5.270718018087925,-33.34455319028348,4.958287871282848,4050.538729601286,2478.7105,2478.6554468097165,186.3146085256984,63.893922467116965,111.6,0.20000000000000284,-42.91089342716441,22.484647017585147,0.9698849097904915,0.02454369260617026,-1.891317,0.5109504673972818,65535.0,6.879592693680453,7.426098735628661e-15,190,78.4,1336113389,1415,104840,-2874076
74,0.857,0.9376367614879649,125,5.270718018087925,-33.34455319028348,4.958287871282848,4050.538729601286,2478.6507,2478.6554468097165,186.3146085256984,63.893922467116965,111.6,0.20000000000000284,-42.91089342716441,22.484647017585147,0.9698849097904915,0.02454369260617026,-1.891317,0.5109504673972818,65535.0,6.879592693680453,7.426098735628661e-15,190,78.4,1336113389,1415,104840,-2874076
75,0.731,0.7997811816192559,125,5.270718018087925,-33.11508042179048,4.924165595350236,4108.676185829202,2478.0811,2478.8849195782095,186.3146085256984,63.89386734414746,111.6,0.20000000000000284,-42.90974503121248,22.484647017585147,0.9698849097904915,0.02454369260617026,-1.865407,0.5039507277395389,52038.0,5.462733571278606,5.896686137249475e-15,187,75.4,1336113389,1415,104898,-2874080
76,0.799,0.8741794310722101,125,5.270718018087925,-34.21917637437582,5.088343101019486,4136.7475146544775,2477.8496,2476.780823625624,186.3146085256984,63.89384029922287,111.6,0.20000000000000284,-42.90918166588193,22.484647017585147,0.9698849097904915,0.02454369260617026,-1.852688,0.5005146147056972,45528.0,4.779340751627125,5.159005466326416e-15,195,83.4,1336113389,1415,104926,-2874082
77,0.815,0.8916849015317285,125,5.270718018087925,-33.61656991671771,4.998736373554515,4178.854508115831,2477.682,2477.3834300832823,186.3146085256984,63.89380079452774,111.6,0.20000000000000284,-42.90835883859404,22.484647017585147,0.9698849097904915,0.02454369260617026,-1.834125,0.4954997105271298,58207.0,6.110329624186437,6.595726392076562e-15,191,79.4,1336113389,1415,104968,-2874085
78,0.785,1.8601895734597158,125,3.9431108834708097,-27.044234222732484,1.3233678374200624,614.5770903637721,2483.0902,2475.9557657772675,186.3151547008152,63.89865477025551,133.9,4.099999999999994,-42.89536691396228,32.83088622218929,0.9708835468721384,0.006135923151542565,-1.57167,0.8511590690105167,20110.0,2.0441146574507014,3.0328993792056933e-15,169,35.099999999999994,1336113389,1413,105599,-2873508
79,0.728,1.7251184834123223,125,3.9431108834708097,-22.530268393456936,1.1024838904582661,647.707495710834,2483.1321,2479.469731606543,186.3151547008152,63.89862355861916,133.9,4.099999999999994,-42.89471798339349,32.83088622218929,0.9708835468721384,0.006135923151542565,-1.557042,0.8432370784772079,16608.0,1.6881479975604798,2.5047435549402366e-15,153,19.099999999999994,1336113389,1413,105632,-2873511
80,0.689,1.6327014218009477,125,3.9431108834708097,-19.52333624381572,0.9553443093051526,685.8250505777694,2483.125,2482.4766637561843,186.3151547008152,63.89858691705758,133.9,4.099999999999994,-42.89395623655872,32.83088622218929,0.9708835468721384,0.006135923151542565,-1.539867,0.8339357257694158,23317.0,2.3700955478755845,3.516564635750331e-15,139,5.099999999999994,1336113389,1413,105670,-2873514
81,0.758,1.7962085308056872,125,3.9431108834708097,-22.181996643543243,1.0854417502104798,774.0284232507228,2482.3599,2478.8180033564568,186.3151547008152,63.89850315792057,133.9,4.099999999999994,-42.892215275472495,32.83088622218929,0.9708835468721384,0.006135923151542565,-1.500579,0.8126587799071895,19363.0,1.968184590363895,2.9202402128075507e-15,152,18.099999999999994,1336113389,1413,105758,-2873520
82,0.812,1.9241706161137442,125,3.9431108834708097,-23.981260674074292,1.1734859569504923,719.8805456462899,2483.101,2478.0187393259257,186.3151547008152,63.89855408342875,133.9,4.099999999999994,-42.893273725697554,32.83088622218929,0.9708835468721384,0.006135923151542565,-1.524455,0.8255891494705806,23240.0,2.36226875381175,3.504951843497778e-15,157,23.099999999999994,1336113389,1413,105704,-2873516
83,0.777,1.8412322274881519,125,3.9431108834708097,-26.649757206439972,1.3040647138165797,742.9650059053926,2482.4448,2474.35024279356,186.3151547008152,63.89853289595015,133.9,4.099999999999994,-42.892833339050355,32.83088622218929,0.9708835468721384,0.006135923151542565,-1.514508,0.8202022175704695,20169.0,2.050111811343769,3.0417974927498574e-15,172,38.099999999999994,1336113389,1413,105727,-2873518
